AF-0000000066921499	AF-0000000066921499
AF-0000000066921508	AF-0000000066921508
AF-0000000069171312	AF-0000000069171312
AF-0000000069171321	AF-0000000069171321
AF-0000000071403338	AF-0000000071403338
AF-0000000071403352	AF-0000000071403352
AF-0000000073564948	AF-0000000073564948
AF-0000000075778489	AF-0000000075778489
AF-0000000075778490	AF-0000000075778490
AF-0000000077963062	AF-0000000077963062
AF-0000000077963063	AF-0000000077963063
AF-0000000080169293	AF-0000000080169293
AF-0000000080169333	AF-0000000080169333
AF-0000000082382308	AF-0000000082382308
AF-0000000203795496	AF-0000000203795496
AF-0000000203805746	AF-0000000203805746
AF-0000000203805746	AF-0000000203805733
AF-0000000207142122	AF-0000000207142122
AF-0000000207172363	AF-0000000207172363
AF-0000000207174492	AF-0000000207174492
AF-0000000207207353	AF-0000000207207353
AF-0000000207220315	AF-0000000207220315
AF-0000000207220315	AF-0000000073564953
AF-0000000207244608	AF-0000000207244608
AF-0000000207244608	AF-0000000207244606
AF-0000000207302745	AF-0000000207302745
AF-0000000208170815	AF-0000000208170815
AF-0000000208299550	AF-0000000208299550
AF-0000000208991763	AF-0000000208991763
AF-0000000209018867	AF-0000000209018867
AF-0000000209124964	AF-0000000209124964
AF-0000000209145741	AF-0000000209145741
AF-0000000209145741	AF-0000000209144594
AF-0000000209145741	AF-0000000209145729
AF-0000000209331179	AF-0000000209331179
AF-0000000209333007	AF-0000000209333007
AF-0000000209336797	AF-0000000209336797
AF-0000000209575602	AF-0000000209575602
AF-0000000209576032	AF-0000000209576032
AF-0000000210333334	AF-0000000210333334
AF-0000000210410642	AF-0000000210410642
AF-0000000210462349	AF-0000000210462349
AF-0000000210560337	AF-0000000210560337
AF-0000000210908674	AF-0000000210908674
AF-0000000211817646	AF-0000000211817646
