stem,source,length,md5,exact_dup,top_sae_sim,top_hit_accession,top_seq_identity,top_coverage,search_status,near_dup
1mj0_A,denovo_pdb,156,0a7b4e294d3060cb43656e8659602742,False,0.9785998988812575,UPI000C215BBB,0.8589743589743589,1.0192307692307692,200,True
1qys_A,denovo_pdb,92,695691ab36b4b6d494c261b5a8460f04,False,0.6607632774221888,Valles-Colomer_2023_transmission|SAMEA10739786|k141_218160_2,0.2753623188405797,0.75,200,False
1uw1_A,denovo_pdb,67,06b74bd238280d093f7d894367617b24,False,0.9113424626146902,JGI_freshwater_misc|SAMN06267858|k141_2497286_1,0.11940298507462686,1.0149253731343284,200,False
2avp_A,denovo_pdb,68,0777c27a9271f2611f27fe188aba3769,False,0.9381684245121694,UPI003AF770FB,0.6764705882352942,4.088235294117647,200,True
2fkg_A,denovo_pdb,315,ce5148d95dcf600b42cbd3259df5c189,False,0.8034939781270146,MGYP001542706317,0.5634920634920635,0.4,200,False
2fo7_A,denovo_pdb,136,c271d59827098d5ef86a49bb86283ce1,True,0.9527087675302784,UPI003AF770FB,0.6029411764705882,2.0441176470588234,200,True
2hkd_A,denovo_pdb,315,7b8c51ce96c8773b60323b3f9680c6c4,False,0.7894784359295327,MGYP001542706317,0.5793650793650794,0.4,200,False
2hyz_A,denovo_pdb,136,c271d59827098d5ef86a49bb86283ce1,True,0.9527087675302784,UPI003AF770FB,0.6029411764705882,2.0441176470588234,200,True
2i5v_O,denovo_pdb,246,ad8bd8935311e11cf280a4fc18f9eda7,False,0.7124972902618938,MGYP000772546845,0.4094488188976378,0.516260162601626,200,True
2i5z_O,denovo_pdb,246,5708f5ddef7696a97e9cd95fad1bb36e,False,0.7143471289563275,MGYP001542706317,0.48412698412698413,0.5121951219512195,200,True
2p05_A,denovo_pdb,63,37b9430aa44c8200efd77c4280bf7bdc,False,0.9158907767109427,Boeuf_2021_marine_HOT_ALOHA|SAMN11874791|k141_550064_3,0.20689655172413793,0.9206349206349206,200,False
2p09_A,denovo_pdb,69,f9c1631c305b18c958088b70ec2d2d50,False,0.894424166687756,JGI_freshwater_misc|SAMN06267858|k141_2497286_1,0.11764705882352941,0.9855072463768116,200,False
2qyj_A,denovo_pdb,154,93bccb44ab3d4856c7b80f37dbaed09d,False,0.975178746978869,UPI003D83F07C,0.7792207792207793,1.0194805194805194,200,True
2wqh_A,denovo_pdb,104,6b716c6e3c27a14d31780dcb01b17a55,False,0.9441144638030173,UPI003AF770FB,0.6634615384615384,2.673076923076923,200,True
2xen_A,denovo_pdb,91,3467903b7f8cac7d851c9cfd2fe5a8dc,True,0.963619531479177,UPI002B423233,0.7362637362637363,1.3846153846153846,200,True
2zgd_A,denovo_pdb,97,b454315417a4dc1a102c0f8425f91bb1,False,0.9521378816852808,2918667760,0.36082474226804123,1.0618556701030928,200,True
2zgg_A,denovo_pdb,88,edfd1761fac89921b27f2fed7ed48a79,False,0.9663868699763605,UPI002B423233,0.6704545454545454,1.4318181818181819,200,True
3dgl_A,denovo_pdb,69,f9c1631c305b18c958088b70ec2d2d50,False,0.894424166687756,JGI_freshwater_misc|SAMN06267858|k141_2497286_1,0.11764705882352941,0.9855072463768116,200,False
3dgm_A,denovo_pdb,69,f9c1631c305b18c958088b70ec2d2d50,False,0.894424166687756,JGI_freshwater_misc|SAMN06267858|k141_2497286_1,0.11764705882352941,0.9855072463768116,200,False
